商洛;2;655.528
辽阳;6;1057.49166667
秦皇岛;27;936.984333333
河源;28;245.526714286
营口;10;1014.0891
保定;18;712.837888889
天门;5;504.949
衡阳;17;367.584529412
桂林;50;531.23464
衡水;7;746.608
宜昌;13;469.757846154
杭州;343;743.179029155
赤峰;8;1163.754125
滁州;12;421.613583333
临汾;5;845.6802
张家口;6;805.613333333
铜陵;19;121.737368421
宣城;12;253.453666667
济宁;28;669.537214286
南京;244;531.239217213
信阳;10;438.4207
舟山;13;386.262076923
青岛;90;1036.83327778
北海;16;335.196875
宜春;4;349.2605
平凉;2;825.799
宁德;28;286.240642857
包头;11;1058.57736364
广元;6;700.706
汕尾;2;97.513
平顶山;6;419.046666667
