图木舒克,13,1
吐鲁番地区,305,42
五家渠,40,7
伊犁州,189,30
昆明,1759,325
保山,284,32
楚雄州,208,55
大理州,2615,545
德宏州,224,21
迪庆州,1581,274
红河州,132,11
丽江,1709,318
临沧,34,4
怒江州,112,10
普洱,136,18
曲靖,145,17
昭通,56,3
文山,128,15
西双版纳,498,92
玉溪,114,20
杭州,2804,544
湖州,229,31
嘉兴,2340,499
金华,483,66
丽水,71,8
宁波,629,122
衢州,70,12
绍兴,601,114
台州,150,17
温州,279,45
舟山,656,116
香港,1575,247
澳门,894,135
北京,0,0
上海,3190,670
天津,0,0
重庆,1474,242
济源,58,2
