id;pi;pj;dij;fij
89;5675;53;1567.228;6
90;5675;16;1609.736;2
91;5675;41;1652.374;5
92;5675;1762;1703.666;58
93;5675;52;1610.521;12
94;5675;122;1496.96;7
95;5675;50;1646.626;8
96;5675;18703;466.518;99
97;5675;1730;544.267;6
98;5675;536;513.342;6
99;5675;2415;532.033;37
100;5675;1730;425.454;55
101;5675;5092;546.739;62
102;5675;1179;357.867;4
103;5675;1940;463.122;12
104;5675;1252;427.177;9
105;5675;1369;480.281;3
106;5675;609;653.628;11
107;5675;1723;324.543;16
108;5675;2744;494.225;17
109;5675;1066;303.228;17
110;5675;1451;401.846;4
111;5675;852;314.331;8
112;5675;1067;328.243;7
113;5675;12815;1745.682;61
114;5675;2606;1768.138;11
115;5675;114;2309.743;10
116;5675;97;2045.984;4
117;5675;153;2214.053;6
118;5675;77;1906.315;2
119;5675;727;1999.458;7
120;5675;645;1775.329;21
121;5675;70;1947.589;4
122;5675;1186;1814.969;9
123;5675;136;2028.844;2
124;5675;295;1842.369;5
125;5675;395;2022.174;5
126;5675;31144;316.582;209
127;5675;482;281.02;1
128;5675;718;760.124;6
129;5675;1094;276.123;14
130;5675;1182;281.216;3
131;5675;538;489.638;7
132;5675;1438;520.225;11
133;5675;1237;616.081;16
134;5675;534;360.668;9
135;5675;2194;476.515;12
136;5675;1104;334.745;5
137;5675;2621;581.794;23
138;5675;16745;580.727;96
139;5675;1436;626.638;11
140;5675;887;793.641;4
141;5675;1801;716.524;11
142;5675;1313;852.684;9
143;5675;850;686.602;9
144;5675;998;763.56;3
145;5675;1905;614.36;17
146;5675;600;826.148;60
147;5675;486;597.209;6
148;5675;837;817.716;4
149;5675;1226;483.443;10
150;5675;756;720.037;42
151;5675;2489;602.242;10
152;5675;12326;732.714;39
153;5675;3739;798.041;17
154;5675;1714;716.873;9
155;5675;1119;1017.518;22
156;5675;3313;587.368;12
157;5675;665;670.591;5
158;5675;2080;853.381;10
159;5675;2665;923.237;43
160;5675;3732;870.262;16
161;5675;1897;632.114;6
162;5675;1740;1018.331;10
163;5675;24001;142.807;356
164;5675;5492;255.529;85
165;5675;2251;253.514;17
166;5675;2609;351.656;52
167;5675;2853;339.617;21
168;5675;16554;322.271;240
169;5675;1010;250.715;16
170;5675;1677;257.546;17
171;5675;8672;288.126;144
172;5675;4774;267.825;62
173;5675;1607;317.117;12
174;5675;3681;210.991;132
175;5675;2342;208.482;78
176;5675;8919;378.062;74
177;5675;484;444.509;4
178;5675;2085;708.235;14
179;5675;642;573.731;16
180;5675;555;285.503;39
181;5675;1527;268.67;97
182;5675;879;575.13;13
183;5675;1164;385.005;71
184;5675;662;503.521;4
185;5675;1273;530.336;11
186;5675;296;404.306;16
187;5675;9103;1512.022;30
188;5675;326;1604.305;4
189;5675;409;1384.746;8
190;5675;2189;1563.277;12
191;5675;164;1411.573;2
192;5675;621;1405.32;3
193;5675;299;1615.129;4
194;5675;436;1341.095;6
195;5675;564;1631.294;25
196;5675;21022;1234.056;42
197;5675;2415;1149.62;7
198;5675;698;1201.48;6
199;5675;845;1116.38;4
200;5675;14804;879.738;48
201;5675;1201;1117.018;6
202;5675;1533;1260.806;7
203;5675;706;1194.934;1
204;5675;1017;1038.646;9
205;5675;1573;1087.387;11
206;5675;1390;1171.316;1
207;5675;1478;1117.372;7
208;5675;859;1298.746;5
209;5675;1054;1075.354;6
210;5675;1630;1247.911;18
211;5675;88;1115.022;1
212;5675;229;1271.195;11
213;5675;3853;1117.07;19
214;5675;169;1305.777;5
215;5675;2238;1182.548;13
216;5675;815;1326.359;2
217;5675;817;1170.201;10
218;5675;1208;1101.717;8
219;5675;1448;1940.768;36
220;5675;214;1380.504;6
221;5675;492;1085.057;2
222;5675;375;1348.403;4
223;5675;208;1634.655;2
224;5675;1967;1521.012;37
225;5675;24;1489.979;4
226;5675;39;1606.897;12
227;5675;37;1610.328;41
228;5675;181;1922.334;39
229;5675;13903;536.62;72
230;5675;837;619.712;8
231;5675;1672;628.79;8
232;5675;1028;628.8;11
233;5675;1429;413.923;10
234;5675;3118;398.573;42
235;5675;308;487.51;8
236;5675;1030;524.575;14
237;5675;2484;370.103;16
238;5675;16030;551.788;155
239;5675;1331;446.009;65
240;5675;1793;481.357;89
241;5675;1898;768.585;37
242;5675;2481;566.225;25
243;5675;4303;730.66;50
244;5675;1097;327.384;22
245;5675;2684;554.274;12
246;5675;10531;797.41;35
247;5675;1202;616.524;1
248;5675;2089;985.637;19
249;5675;1079;575.041;6
250;5675;1811;770.005;34
251;5675;1190;709.054;6
252;5675;651;843.838;4
253;5675;352;938.015;1
254;5675;545;842.699;16
255;5675;1164;749.173;3
256;5675;1101;681.273;4
257;5675;32704;821.742;137
258;5675;1000;781.271;7
259;5675;1634;982.439;12
260;5675;899;970.462;4
261;5675;211;722.268;4
262;5675;249;843.358;4
263;5675;982;783.27;42
264;5675;1637;845.533;21
265;5675;1052;888.82;6
266;5675;1482;989.746;4
267;5675;35862;1263.444;103
268;5675;596;1421.792;108
269;5675;232;994.621;2
270;5675;358;931.123;7
271;5675;1142;1224.572;4
272;5675;280;1474.375;65
273;5675;574;1011.184;4
274;5675;664;1081.704;6
275;5675;1196;1317.252;35
276;5675;427;1514.515;31
277;5675;860;1183.289;1
278;5675;1428;1068.882;8
279;5675;547;1297.813;3
280;5675;2404;1191.406;12
281;5675;578;1194.521;3
282;5675;457;1619.857;4
283;5675;971;1124.524;3
284;5675;399;1377.616;14
285;5675;1071;1262.624;3
286;5675;270;1221.368;2
287;5675;795;1229.488;5
288;5675;1780;2509.272;28
289;5675;18;1906.446;6
290;5675;252;2203.057;28
291;5675;66;2383.889;8
292;5675;124;2722.748;15
293;5675;108;2459.568;11
294;5675;3166;2910.488;20
295;5675;194;3440.246;3
296;5675;70;3030.619;15
297;5675;527;3185.23;6
298;5675;92;3363.455;3
299;5675;462;2959.096;5
300;5675;226;2419.414;5
301;5675;13;3453.966;1
302;5675;78;3794.252;5
303;5675;563;3155.071;3
304;5675;286;3042.147;2
305;5675;109;2756.605;14
306;5675;17;2928.324;1
307;5675;243;3400.462;6
308;5675;9297;1613.0;109
309;5675;240;1920.578;5
310;5675;135;1742.839;11
311;5675;1577;1798.348;160
312;5675;162;2008.482;4
313;5675;133;1752.531;94
314;5675;301;1663.211;7
315;5675;2510;1742.782;105
316;5675;65;1907.078;2
317;5675;70;1913.275;7
318;5675;118;1899.238;10
319;5675;470;1493.887;6
320;5675;103;1404.306;2
321;5675;83;1607.943;5
322;5675;390;1965.529;18
323;5675;193;1667.915;8
324;5675;28731;332.312;276
325;5675;1418;292.783;41
326;5675;3965;352.369;202
327;5675;3341;382.541;65
328;5675;1083;457.176;11
329;5675;10525;465.945;76
330;5675;765;358.219;14
331;5675;2984;378.066;72
332;5675;2890;535.252;20
333;5675;8810;541.315;30
334;5675;627;509.072;91
335;5675;4127;1108.838;85
336;5675;1642;1137.055;49
337;5675;168923;901.116;288
338;5675;79400;404.747;324
339;5675;29365;810.097;91
340;5675;20445;1060.559;94
341;5675;150;578.666;4
342;1649;11814;149.477;135
343;1649;1699;267.726;47
344;1649;346;389.881;31
345;1649;961;43.909;109
346;1649;920;231.719;53
347;1649;1162;288.004;42
348;1649;726;381.779;30
349;1649;1551;234.349;31
350;1649;604;102.009;199
351;1649;892;145.444;55
352;1649;1337;188.92;39
353;1649;875;345.028;31
354;1649;736;85.499;51
355;1649;2953;156.548;91
356;1649;808;168.428;78
357;1649;10225;547.208;57
358;1649;930;607.73;29
359;1649;647;447.183;39
360;1649;838;495.535;45
361;1649;663;600.267;32
362;1649;4049;645.527;42
363;1649;827;478.428;27
364;1649;11619;681.182;144
365;1649;1382;672.997;37
366;1649;55521;905.736;138
367;1649;1221;766.618;33
368;1649;7281;896.131;56
369;1649;8560;921.568;51
370;1649;515;789.68;27
371;1649;1564;867.23;61
372;1649;2390;970.762;42
373;1649;852;781.014;28
374;1649;1009;1161.351;32
375;1649;496;699.969;28
376;1649;1047;858.96;39
377;1649;2616;797.05;38
378;1649;189;879.835;28
379;1649;1644;723.899;47
380;1649;37177;939.377;140
381;1649;810;1089.7;32
382;1649;494;981.294;30
383;1649;1844;1230.778;38
384;1649;1421;946.541;41
385;1649;3363;960.433;45
386;1649;4803;985.364;84
387;1649;6981;1223.923;50
388;1649;482;1268.229;23
389;1649;471;1283.093;66
390;1649;65;1322.444;21
391;1649;185;1319.506;21
392;1649;2858;889.59;107
393;1649;523;1109.26;17
394;1649;454;1098.585;18
395;1649;217;871.978;20
396;1649;38;1082.673;16
397;1649;2314;1022.625;29
398;1649;300;1270.061;19
399;1649;655;970.12;21
400;1649;433;1115.129;18
401;1649;5086;1100.625;57
402;1649;761;1190.176;81
403;1649;458;1200.236;23
404;1649;744;1270.805;27
405;1649;513;825.855;25
406;1649;757;1033.849;52
407;1649;259;1131.499;23
408;1649;286;989.831;51
409;1649;426;1047.345;30
410;1649;5313;1374.824;67
411;1649;315;1363.396;17
412;1649;113;1287.437;19
413;1649;180;1411.936;35
414;1649;112;1989.617;49
415;1649;129;1622.691;18
416;1649;625;1969.185;93
417;1649;454;1407.997;19
418;1649;419;1187.505;17
419;1649;137;1116.038;23
420;1649;421;1049.835;17
421;1649;391;1152.881;34
422;1649;96;1558.765;18
423;1649;142;1779.025;37
424;1649;3188;1351.565;59
425;1649;48;141.438;16
426;1649;45;1442.76;21
427;1649;15;1400.521;17
428;1649;20;1527.892;18
429;1649;29;1404.238;18
430;1649;53;1427.085;22
431;1649;16;1471.152;18
432;1649;41;1512.684;23
433;1649;1762;1564.814;104
434;1649;52;1470.157;27
435;1649;122;1356.498;23
436;1649;50;1508.835;25
437;1649;18703;567.928;93
438;1649;1730;669.378;37
439;1649;536;635.182;19
440;1649;2415;634.428;89
441;1649;1730;538.132;79
442;1649;5092;630.162;87
443;1649;1179;441.749;23
444;1649;1940;508.302;35
445;1649;1252;502.856;31
446;1649;1369;610.643;20
447;1649;609;725.513;33
448;1649;1723;454.13;37
449;1649;2744;606.779;37
450;1649;1066;333.563;35
451;1649;1451;492.744;32
452;1649;852;411.6;32
453;1649;1067;393.964;32
454;1649;12815;1889.402;90
455;1649;2606;1914.84;32
456;1649;114;2458.908;86
457;1649;97;2186.45;20
458;1649;153;2360.846;28
459;1649;77;2041.615;29
460;1649;727;2139.039;30
461;1649;645;1911.476;64
462;1649;70;2083.814;24
463;1649;1186;1963.063;39
464;1649;136;2166.687;16
465;1649;295;1986.661;20
466;1649;395;2165.194;29
467;1649;31144;262.93;150
468;1649;482;208.262;19
469;1649;718;724.215;31
470;1649;1094;206.69;35
471;1649;1182;196.143;19
472;1649;538;466.335;16
473;1649;1438;476.021;64
474;1649;68;412.274;16
475;1649;1237;637.589;103
476;1649;417;374.383;19
477;1649;99;377.012;19
478;1649;106;353.468;21
479;1649;534;275.28;48
480;1649;2194;494.18;36
481;1649;1104;301.954;28
482;1649;2621;550.901;46
483;1649;16745;472.752;108
484;1649;1436;549.101;23
485;1649;887;660.163;19
486;1649;1801;595.716;30
487;1649;1313;763.778;40
488;1649;850;582.304;19
489;1649;998;657.609;20
490;1649;1905;501.024;46
491;1649;600;750.681;121
492;1649;486;503.45;20
493;1649;837;701.394;18
494;1649;1226;398.8;42
495;1649;756;654.218;93
496;1649;2489;486.461;34
497;1649;12326;867.954;64
498;1649;3739;940.276;109
499;1649;1714;863.993;24
500;1649;1119;1166.465;79
501;1649;3313;716.766;32
502;1649;665;812.376;22
503;1649;2080;1000.25;28
504;1649;2665;1072.373;82
505;1649;3732;1019.546;41
506;1649;1897;763.973;26
507;1649;1740;1160.14;43
508;1649;24001;235.262;165
509;1649;5492;310.466;52
510;1649;2251;388.912;22
511;1649;2609;493.931;40
512;1649;2853;398.429;34
513;1649;16554;350.955;171
514;1649;1010;397.527;22
515;1649;1677;346.777;24
516;1649;8672;330.237;97
517;1649;4774;415.806;44
518;1649;1607;430.374;23
519;1649;3681;306.497;80
520;1649;2342;293.794;51
521;1649;8919;234.625;75
522;1649;484;295.454;15
523;1649;2085;562.328;26
524;1649;642;431.146;33
525;1649;555;137.958;45
526;1649;1527;136.713;110
527;1649;879;448.201;24
528;1649;1164;247.334;117
529;1649;662;365.359;18
530;1649;1273;398.611;35
531;1649;296;255.665;24
532;1649;9103;1655.448;46
533;1649;326;1752.599;15
534;1649;409;1521.453;25
535;1649;2189;1704.184;30
536;1649;164;1553.774;14
537;1649;621;1549.461;19
538;1649;299;1760.841;19
539;1649;436;1478.581;33
540;1649;564;1762.917;62
541;1649;21022;1378.17;75
542;1649;2415;1293.615;30
543;1649;698;1343.898;30
544;1649;845;1265.26;17
545;1649;14804;1023.676;101
546;1649;1201;1254.69;41
547;1649;1533;1403.882;26
548;1649;706;1342.598;22
549;1649;1017;1186.618;33
550;1649;1573;1235.188;35
551;1649;1390;1315.169;28
552;1649;1478;1263.517;30
553;1649;859;1442.693;23
554;1649;1054;1220.523;27
555;1649;1630;1331.177;65
556;1649;88;1172.694;21
557;1649;248;1356.427;20
558;1649;140;1296.525;20
559;1649;229;1340.531;50
560;1649;3853;1244.506;62
561;1649;169;1389.507;55
562;1649;2238;1299.88;35
563;1649;815;1432.12;17
564;1649;817;1319.629;48
565;1649;1208;1215.599;33
566;1649;1448;2090.073;113
567;1649;214;1528.411;24
568;1649;368;1377.817;20
569;1649;492;1219.936;22
570;1649;375;1494.645;65
571;1649;208;1783.635;49
572;1649;1967;1569.719;64
573;1649;24;1538.316;21
574;1649;39;1656.388;36
575;1649;37;1652.886;86
576;1649;181;1968.183;107
577;1649;13903;684.053;112
578;1649;837;769.062;20
579;1649;1672;778.149;26
580;1649;1028;773.592;25
581;1649;1429;546.637;27
582;1649;3118;543.167;69
583;1649;308;636.707;19
584;1649;1030;666.238;24
585;1649;2484;518.82;59
586;1649;16030;692.537;149
587;1649;1331;589.57;54
588;1649;1793;628.982;137
589;1649;1898;905.936;54
590;1649;2481;714.306;35
591;1649;4303;871.932;72
592;1649;1097;475.781;29
593;1649;2684;703.731;33
594;1649;10531;917.328;62
595;1649;1202;728.91;17
596;1649;2089;1119.259;47
597;1649;1079;676.701;18
598;1649;1811;890.224;116
599;1649;1190;804.025;45
600;1649;651;949.861;19
601;1649;352;1064.57;12
602;1649;545;967.031;55
603;1649;1164;876.91;11
604;1649;1101;755.876;17
605;1649;32704;867.702;179
606;1649;1000;797.378;39
607;1649;1634;1021.208;58
608;1649;899;988.186;25
609;1649;211;766.684;16
610;1649;249;899.956;21
611;1649;982;836.443;84
612;1649;1637;891.281;39
613;1649;1052;972.66;41
614;1649;1482;1091.741;24
615;1649;35862;1244.037;141
616;1649;596;1418.844;224
617;1649;232;991.53;19
618;1649;358;916.559;26
619;1649;1142;1210.894;28
620;1649;280;1450.261;231
621;1649;574;986.901;31
622;1649;664;1087.15;26
623;1649;1196;1284.582;107
624;1649;427;1466.537;84
625;1649;860;1137.144;21
626;1649;1428;1048.743;58
627;1649;547;1270.74;26
628;1649;2404;1182.743;29
629;1649;578;1158.847;19
630;1649;457;1561.077;21
631;1649;971;1101.428;20
632;1649;399;1351.209;41
633;1649;1071;1217.41;29
634;1649;270;1193.815;19
635;1649;795;1191.37;24
636;1649;1780;2495.292;82
637;1649;18;1898.119;19
638;1649;252;2185.453;65
639;1649;66;2381.636;24
640;1649;124;2708.6;48
641;1649;108;2441.944;46
642;1649;3166;2982.26;68
643;1649;194;3493.482;45
644;1649;70;3120.919;85
645;1649;527;3247.263;69
646;1649;92;3434.756;17
647;1649;462;3031.911;28
648;1649;226;2494.826;40
649;1649;13;3487.608;24
650;1649;78;3838.76;32
651;1649;563;3230.307;24
652;1649;286;3114.449;22
653;1649;154;3430.222;21
654;1649;109;2825.944;39
655;1649;17;3002.641;17
656;1649;243;3466.866;33
657;1649;9297;1537.398;113
658;1649;240;1858.076;49
659;1649;135;1671.253;25
660;1649;1577;1736.934;194
661;1649;162;1942.984;40
662;1649;133;1710.634;186
663;1649;301;1572.33;26
664;1649;2510;1691.128;134
665;1649;65;1832.781;17
666;1649;70;1857.288;19
667;1649;118;1814.488;26
668;1649;470;1417.774;33
669;1649;103;1345.864;21
670;1649;83;1514.476;49
671;1649;390;1876.789;57
672;1649;193;1587.737;28
673;1649;28731;305.042;223
674;1649;1418;297.056;36
675;1649;3965;355.438;223
676;1649;3341;297.094;92
677;1649;1083;362.002;24
678;1649;10525;440.841;62
679;1649;765;248.622;21
680;1649;2984;344.915;47
681;1649;2890;472.374;22
682;1649;8810;451.633;32
683;1649;627;494.433;83
684;1649;4127;961.27;113
685;1649;1642;991.063;71
686;1649;168923;1047.25;300
687;1649;79400;430.411;213
688;1649;29365;958.119;128
689;1649;20445;1020.171;97
690;1649;150;669.158;21
691;1559;11814;118.49;49
692;1559;17691;267.726;19
693;1559;346;179.594;10
694;1559;961;252.971;19
695;1559;920;113.453;47
696;1559;1162;143.586;16
697;1559;726;126.176;12
698;1559;1551;44.963;22
699;1559;604;302.989;49
700;1559;892;153.283;15
701;1559;1337;175.981;11
702;1559;875;85.873;20
703;1559;736;225.634;6
704;1559;2953;199.15;32
705;1559;808;256.591;17
706;1559;10225;789.584;5
707;1559;930;874.57;1
708;1559;647;704.254;2
709;1559;838;729.449;1
710;1559;4049;901.804;3
711;1559;827;741.751;1
712;1559;11619;942.382;23
713;1559;1382;936.984;2
714;1559;55521;1161.912;12
715;1559;7281;1155.612;3
716;1559;8560;1176.737;1
717;1559;1564;1130.248;1
718;1559;2390;1226.939;1
719;1559;37177;1201.345;10
720;1559;1421;1196.343;1
721;1559;3363;1218.948;2
722;1559;4803;1245.354;4
723;1559;6981;1435.482;4
724;1559;471;1512.288;3
725;1559;2858;1096.949;7
726;1559;217;1104.281;1
727;1559;2314;1230.986;1
728;1559;655;1206.701;1
729;1559;5086;1243.909;1
730;1559;761;1333.007;3
731;1559;286;1147.666;2
732;1559;426;1205.806;2
733;1559;5313;1288.501;3
734;1559;315;1266.135;1
735;1559;113;1207.06;2
736;1559;180;1351.592;1
737;1559;112;1868.26;2
738;1559;129;1501.205;1
739;1559;625;1847.709;4
740;1559;391;1090.474;1
741;1559;142;1660.074;2
742;1559;3188;1597.175;6
743;1559;53;1675.917;1
744;1559;41;1760.603;1
745;1559;1762;1811.144;10
746;1559;52;1719.356;3
747;1559;18703;398.538;10
748;1559;1730;448.664;2
749;1559;2415;460.266;14
750;1559;1730;347.27;12
751;1559;5092;493.165;13
752;1559;1179;316.51;2
753;1559;1940;449.663;4
754;1559;1252;387.984;4
755;1559;609;606.933;2
756;1559;1723;231.213;5
757;1559;2744;413.256;7
758;1559;1066;319.722;1
759;1559;1451;349.042;2
760;1559;1067;309.027;2
761;1559;12815;1635.994;12
762;1559;153;2100.465;1
763;1559;727;1894.221;1
764;1559;645;1673.988;4
765;1559;1186;1699.721;1
766;1559;31144;388.795;29
767;1559;482;366.942;1
768;1559;718;798.08;2
769;1559;1094;360.947;3
770;1559;1182;372.91;1
771;1559;538;528.71;3
772;1559;1438;572.296;4
773;1559;68;521.447;2
774;1559;1237;614.32;7
775;1559;417;397.715;2
776;1559;99;473.961;1
777;1559;106;477.105;3
778;1559;534;446.659;2
779;1559;2194;485.301;3
780;1559;1104;392.552;1
781;1559;2621;621.783;3
782;1559;16745;671.89;18
783;1559;1436;697.285;1
784;1559;887;898.995;1
785;1559;1801;813.933;2
786;1559;1313;926.851;4
787;1559;850;773.592;1
788;1559;998;850.574;1
789;1559;1905;708.263;6
790;1559;600;891.267;10
791;1559;486;679.121;1
792;1559;837;911.172;1
793;1559;1226;563.113;3
794;1559;756;780.428;9
795;1559;2489;697.855;2
796;1559;12326;625.056;1
797;1559;3739;684.017;2
798;1559;1119;899.03;4
799;1559;3313;486.647;2
800;1559;2080;735.834;2
801;1559;2665;806.444;3
802;1559;3732;751.836;2
803;1559;1897;528.42;1
804;1559;24001;165.011;58
805;1559;5492;278.464;14
806;1559;2251;173.001;5
807;1559;2609;250.813;18
808;1559;2853;345.596;2
809;1559;16554;356.067;38
810;1559;1010;143.451;6
811;1559;1677;245.284;4
812;1559;8672;316.132;21
813;1559;4774;150.216;23
814;1559;1607;264.962;2
815;1559;3681;202.521;19
816;1559;2342;212.794;10
817;1559;8919;492.272;2
818;1559;2085;822.75;1
819;1559;555;403.964;6
820;1559;1527;379.902;12
821;1559;1164;501.088;6
822;1559;296;522.795;1
823;1559;9103;1402.866;4
824;1559;409;1283.426;2
825;1559;2189;1456.986;1
826;1559;564;1534.929;2
827;1559;21022;1124.373;5
828;1559;14804;770.969;5
829;1559;1017;923.892;2
830;1559;1573;972.863;1
831;1559;1630;1182.139;1
832;1559;3853;1014.545;3
833;1559;2238;1088.302;1
834;1559;817;1051.934;2
835;1559;1448;1822.358;3
836;1559;375;1231.074;1
837;1559;1967;1481.962;5
838;1559;39;1566.698;3
839;1559;181;1883.581;3
840;1559;13903;418.914;15
841;1559;1028;513.025;2
842;1559;1429;312.904;1
843;1559;3118;283.926;14
844;1559;16030;449.473;22
845;1559;1331;340.693;22
846;1559;1793;363.572;30
847;1559;1898;668.865;7
848;1559;2481;451.977;4
849;1559;4303;626.091;11
850;1559;1097;209.224;9
851;1559;10531;703.4;3
852;1559;1202;532.355;1
853;1559;2089;878.33;3
854;1559;1079;502.584;1
855;1559;1811;675.99;4
856;1559;1190;639.617;1
857;1559;352;837.009;1
858;1559;545;744.268;1
859;1559;32704;793.26;28
860;1559;1000;778.477;2
861;1559;1634;956.956;4
862;1559;899;962.397;2
863;1559;982;749.525;8
864;1559;1637;816.715;3
865;1559;1052;826.284;2
866;1559;1482;910.012;1
867;1559;35862;1280.974;11
868;1559;596;1424.984;12
869;1559;280;1493.806;11
870;1559;664;1081.788;1
871;1559;1196;1344.582;6
872;1559;427;1552.205;2
873;1559;399;1399.577;1
874;1559;1071;1300.085;1
875;1559;1780;2516.219;5
876;1559;18;1910.994;1
877;1559;252;2213.784;4
878;1559;66;2381.895;1
879;1559;124;2729.307;1
880;1559;108;2469.534;3
881;1559;3166;2848.628;3
882;1559;194;3392.238;1
883;1559;70;2954.083;1
884;1559;92;3301.372;1
885;1559;462;2896.344;1
886;1559;13;3421.373;1
887;1559;563;3090.157;1
888;1559;109;2696.91;1
889;1559;243;3342.169;1
890;1559;9297;1671.403;14
891;1559;240;1967.569;1
892;1559;135;1797.578;1
893;1559;1577;1844.973;20
894;1559;162;2057.503;1
895;1559;133;1784.182;6
896;1559;2510;1782.076;16
897;1559;118;1963.616;1
898;1559;470;1553.275;1
899;1559;390;2032.818;1
900;1559;28731;402.473;40
901;1559;1418;348.091;7
902;1559;3965;401.375;30
903;1559;3341;478.932;14
904;1559;1083;555.457;1
905;1559;10525;525.015;11
906;1559;765;465.374;1
907;1559;2984;447.77;3
908;1559;2890;614.261;1
909;1559;8810;634.783;3
910;1559;627;558.903;10
911;1559;4127;1224.393;10
912;1559;1642;1251.131;8
913;1559;168923;784.018;39
914;1559;79400;432.117;48
915;1559;29365;691.912;13
916;1559;20445;1096.522;4
917;674;11814;263.264;13
918;674;17691;389.881;1
919;674;1699;179.594;4
920;674;961;391.883;6
921;674;920;293.043;4
922;674;1162;108.023;12
923;674;726;93.23;5
924;674;1551;178.389;4
925;674;604;454.563;11
926;674;892;244.886;2
927;674;1337;352.423;2
928;674;875;114.158;3
929;674;736;377.941;1
930;674;2953;370.139;6
931;674;808;428.002;1
932;674;11619;1068.275;2
933;674;55521;1221.031;2
934;674;1221;1139.457;1
935;674;37177;1272.433;2
936;674;4803;1311.133;1
937;674;2858;1097.064;1
938;674;5313;1117.626;3
939;674;391;928.103;1
940;674;1762;1846.393;1
941;674;18703;219.921;8
942;674;1730;281.556;1
943;674;2415;280.728;5
944;674;1730;167.815;5
945;674;5092;319.516;7
946;674;1179;164.58;1
947;674;1940;316.25;1
948;674;1723;64.577;5
949;674;2744;234.7;2
950;674;1066;250.776;1
951;674;852;108.503;2
952;674;1067;189.386;1
953;674;12815;1615.061;3
954;674;645;1681.757;1
955;674;70;1851.675;1
956;674;31144;391.586;3
957;674;1438;520.025;1
958;674;1237;484.058;1
959;674;106;458.04;1
960;674;534;465.942;1
961;674;2621;547.16;1
962;674;16745;684.324;3
963;674;1801;834.848;1
964;674;1313;895.262;1
965;674;600;844.552;3
966;674;756;729.711;3
967;674;12326;478.832;1
968;674;3739;558.923;3
969;674;1119;815.04;1
970;674;2665;756.515;1
971;674;3732;677.817;1
972;674;24001;344.602;10
973;674;5492;456.628;1
974;674;2251;301.568;1
975;674;2609;322.022;1
976;674;16554;534.828;3
977;674;1010;231.957;1
978;674;8672;494.514;4
979;674;4774;136.585;3
980;674;1607;407.88;1
981;674;3681;376.293;2
982;674;8919;576.904;2
983;674;555;525.461;1
984;674;1527;462.585;4
985;674;1164;636.972;1
986;674;9103;1386.181;1
987;674;2189;1450.577;1
988;674;564;1557.859;1
989;674;21022;1109.114;2
990;674;14804;767.755;3
991;674;1967;1309.864;2
992;674;37;1405.755;2
993;674;13903;332.551;2
994;674;1429;157.703;1
995;674;2484;269.74;2
996;674;16030;487.331;6
997;674;1331;381.733;5
998;674;1793;283.881;4
999;674;1898;700.261;1
1000;674;2481;439.482;1
1001;674;1097;172.229;1
1002;674;2684;386.199;1
1003;674;10531;534.149;2
1004;674;1079;322.992;1
1005;674;1811;506.746;1
