316;嘉峪关;100
317;天门;94
318;仙桃;93
319;大兴安岭地区;92
320;武威;87
321;博尔塔拉州;87
322;昭通;86
323;鹤岗;86
324;固原;83
325;文山;71
326;喀什地区;70
327;鸡西;69
328;怒江州;68
329;那曲地区;64
330;七台河;63
331;潜江;60
332;阿勒泰地区;59
333;临沧;58
334;崇左;54
335;万宁;50
336;琼海;48
337;五指山;47
338;昌江;46
339;陵水;38
340;儋州;36
341;海北州;35
342;来宾;31
343;海南州;30
344;定安;27
345;海东地区;22
346;东方;18
347;昌都地区;17
348;琼中;14
349;五家渠;14
350;澄迈;13
351;和田地区;12
352;黄南州;6
353;阿拉尔;1
354;乐东;1
