张家口	434.55	98	0.002255207
汉中	341.62	77	0.002253966
阜新	181.93	41	0.002253614
承德	347.32	78	0.002245768
枣庄	372.93	83	0.002225619
平顶山	490.44	109	0.002222494
荆州	569.17	125	0.00219618
海北州	27.33	6	0.00219539
大理州	345.6	75	0.002170139
遂宁	325.26	70	0.002152124
锡林郭勒盟	102.8	22	0.002140078
赣州	836.84	179	0.002138999
湘西州	254.78	54	0.002119476
滨州	374.85	78	0.002080832
莱芜	129.85	27	0.002079322
南平	264.55	55	0.002079002
衡阳	714.15	148	0.002072394
延边	227.16	47	0.002069026
昌吉州	142.86	29	0.002029959
葫芦岛	262.35	53	0.002020202
临沂	1003.94	201	0.002002112
常德	571.72	114	0.001993983
雅安	150.73	30	0.001990314
鹤壁	156.91	31	0.001975655
三门峡	223.39	44	0.001969649
盐城	726.02	143	0.001969643
临汾	431.66	85	0.001969142
南充	627.86	123	0.001959035
湛江	699.33	137	0.001959018
巴音郭楞	127.85	25	0.001955417
金昌	46.41	9	0.001939237
潍坊	908.62	176	0.001937003
荆门	287.37	55	0.001913909
沧州	713.41	136	0.001906337
娄底	378.56	72	0.001901944
延安	218.7	41	0.001874714
鹰潭	112.49	21	0.001866833
宜宾	447.2	83	0.001855993
海西州	48.93	9	0.001839362
咸宁	246.26	45	0.001827337
怀化	474.19	85	0.00179253
石嘴山	72.55	13	0.001791868
牡丹江	279.87	50	0.001786544
济源	67.57	12	0.001775936
恩施	329.03	58	0.001762757
邢台	710.41	125	0.001759547
郴州	458.18	80	0.001746039
运城	513.48	89	0.001733271
铁岭	271.77	45	0.001655812
白城	203.31	33	0.001623137
白山	129.66	21	0.001619621
朝阳	304.46	49	0.001609407
上饶	657.97	105	0.001595817
岳阳	547.79	87	0.0015882
商丘	736.25	116	0.001575552
信阳	610.87	96	0.001571529
云浮	236.01	37	0.00156773
吕梁	372.71	58	0.00155617
泸州	421.84	65	0.001540869
乌兰察布	214.36	33	0.001539466
齐齐哈尔	536.7	82	0.001527855
眉山	295.05	45	0.001525165
宿迁	471.56	71	0.001505641
通化	232.52	35	0.001505247
聊城	578.99	87	0.001502617
张掖	119.95	18	0.001500625
阿勒泰地区	60.33	9	0.001491795
广元	248.41	37	0.001489473
南阳	1026.3	151	0.001471305
永州	518.02	76	0.001467125
忻州	306.75	45	0.001466993
白银	170.88	25	0.001463015
朔州	171.49	25	0.001457811
孝感	481.45	70	0.001453941
遵义	612.7	89	0.001452587
吐鲁番地区	62.27	9	0.001445319
潜江	103	14	0.001359223
衡水	434.08	59	0.001359196
海南州	44.17	6	0.001358388
阜阳	760	102	0.001342105
佳木斯	255.21	34	0.001332236
茂名	581.78	77	0.001323524
内江	370.28	49	0.001323323
庆阳	221.12	29	0.001311505
兴安盟	161.33	21	0.00130168
梅州	424.01	55	0.001297139
揭阳	587.7	76	0.001293177
赤峰	434.12	55	0.001266931
抚州	391.23	49	0.00125246
渭南	528.61	66	0.001248558
宿州	535.3	66	0.001232953
鹤岗	105.87	13	0.001227921
六安	561.2	68	0.001211689
益阳	431.31	52	0.001205629
德州	556.82	67	0.001203261
随州	216.22	26	0.001202479
钦州	307.97	37	0.001201416
甘孜州	109.19	13	0.001190585
黄冈	616.21	73	0.001184661
贺州	195.41	23	0.001177012
铜仁地区	309.24	36	0.001164144
甘南州	68.91	8	0.001160935
广安	320.55	37	0.001154266
黔东南州	348.06	40	0.001149227
宜春	541.96	62	0.001143996
博尔塔拉州	44.37	5	0.001126888
梧州	288.22	32	0.001110263
菏泽	828.78	92	0.001110065
陵水	36.46	4	0.001097093
汕尾	293.57	32	0.00109003
河源	295.3	32	0.001083644
四平	338.63	36	0.001063107
六盘水	285.12	30	0.001052189
仙桃	156.08	16	0.001025115
德宏州	121.1	12	0.000990917
琼海	50.94	5	0.000981547
天水	326.25	32	0.000980843
松原	288.11	28	0.000971851
驻马店	723.07	70	0.000968094
玉溪	230.4	22	0.000954861
辽源	117.66	11	0.000934897
伊犁州	248.26	23	0.000926448
百色	346.68	32	0.000923041
贵港	411.88	38	0.000922599
吉安	481.03	44	0.000914704
黔南州	323.12	29	0.000897499
昌江	22.38	2	0.000893655
黔西南州	280.59	25	0.00089098
邵阳	707.18	63	0.000890862
保山	250.6	22	0.000877893
琼中	22.8	2	0.000877193
资阳	366.51	32	0.0008731
儋州	104	9	0.000865385
吴忠	127.38	11	0.000863558
通辽	313.92	27	0.000860092
日喀则地区	70.33	6	0.000853121
文昌	59	5	0.000847458
巴中	328.38	27	0.000822218
商洛	234.17	19	0.000811376
河池	336.92	27	0.000801377
达州	546.81	43	0.000786379
亳州	485.1	38	0.000783344
七台河	92.04	7	0.000760539
周口	895.32	68	0.000759505
阿克苏地区	237.09	18	0.000759205
楚雄州	268.4	20	0.000745156
陇南	256.77	19	0.000739962
塔城地区	121.92	9	0.000738189
平凉	206.8	15	0.000725338
红河州	450.1	32	0.000710953
凉山州	453.28	32	0.000705965
曲靖	585.5	39	0.000666097
那曲地区	46.24	3	0.000648789
中卫	108.08	7	0.000647668
定安	31	2	0.000645161
玉林	548.74	35	0.000637825
山南地区	32.9	2	0.000607903
崇左	199.43	12	0.000601715
巢湖	387.3	23	0.000593855
保亭	17.03	1	0.000587199
武威	181.51	10	0.000550934
双鸭山	146.26	8	0.000546971
固原	122.82	6	0.00048852
定西	269.86	13	0.000481731
黑河	167.39	8	0.000477926
东方	43.5	2	0.00045977
鸡西	186.22	8	0.000429599
黄南州	25.67	1	0.00038956
毕节地区	653.64	25	0.000382474
怒江州	53.4	2	0.000374532
昭通	521.3	19	0.000364473
万宁	55.45	2	0.000360685
澄迈	57.5	2	0.000347826
阿拉尔	29.8	1	0.00033557
来宾	209.97	7	0.000333381
普洱	254.3	8	0.000314589
文山	351.8	11	0.000312678
天门	162.8	5	0.000307125
临沧	243	7	0.000288066
绥化	541.64	14	0.000258474
喀什地区	397.94	9	0.000226165
乐东	46.92	1	0.000213129
临夏州	194.67	4	0.000205476
昌都地区	65.75	1	0.000152091
海东地区	139.68	2	0.000143184
和田地区	201.44	1	4.96426E-05
白沙	19.85	0	0
临高	47.3	0	0
屯昌	29.5	0	0
果洛州	18.17	0	0
玉树州	37.84	0	0
阿里地区	9.55	0	0
克孜勒苏州	52.56	0	0
图木舒克	16	0	0
台湾	2316.21	0	0
