id;pi;pj;dij;fij
1;758;1009;149.477;202
2;758;122;118.49;163
3;758;210;118.367;285
4;758;800;825.217;139
5;758;3211;1049.577;102
6;758;2273;1086.347;101
7;758;2057;316.582;209
8;758;1505;142.807;356
9;758;1109;322.271;240
10;758;571;288.126;144
11;758;246;210.991;132
12;758;880;551.788;155
13;758;1814;821.742;137
14;758;2244;1263.444;103
15;758;507;1613.0;109
16;758;168;1742.782;105
17;758;1773;332.312;276
18;758;317;352.369;202
19;758;8143;901.116;288
20;758;4421;404.747;324
21;1009;758;149.477;135
22;1009;800;681.182;144
23;1009;3211;905.736;138
24;1009;2273;939.377;140
25;1009;204;889.59;107
26;1009;147;1564.814;104
27;1009;2057;262.93;150
28;1009;1101;472.752;108
29;1009;313;940.276;109
30;1009;1505;235.262;165
31;1009;1109;350.955;171
32;1009;126;136.713;110
33;1009;105;247.334;117
34;1009;907;1023.676;101
35;1009;911;684.053;112
36;1009;880;692.537;149
37;1009;135;628.982;137
38;1009;147;890.224;116
39;1009;1814;867.702;179
40;1009;2244;1244.037;141
41;1009;507;1537.398;113
42;1009;168;1691.128;134
43;1009;1773;305.042;223
44;1009;317;355.438;223
45;1009;207;961.27;113
46;1009;8143;1047.25;300
47;1009;4421;430.411;213
48;1009;1639;958.119;128
49;210;1505;85.513;106
50;725;346;147.103;210
51;725;800;212.873;390
52;725;147;238.172;156
53;725;3211;691.133;150
54;725;2273;664.334;147
55;725;2057;704.219;111
56;725;1101;673.696;121
57;725;1505;671.193;157
58;725;1109;600.098;163
59;725;624;449.348;106
60;725;105;300.846;120
61;725;1814;1353.838;108
62;725;2244;1579.81;116
63;725;507;1671.356;104
64;725;168;1903.951;119
65;725;1773;476.936;262
66;725;317;544.488;226
67;725;207;668.838;150
68;725;8143;1569.269;242
69;725;4421;616.21;265
70;346;725;147.103;131
71;346;800;68.037;176
72;800;725;212.873;313
73;800;346;68.037;298
74;800;147;43.432;292
75;800;3211;511.679;201
76;800;2273;469.056;208
77;800;204;796.621;134
78;800;2057;774.219;121
79;800;1101;658.021;119
80;800;1505;845.048;171
81;800;1109;799.371;165
82;800;624;516.727;114
83;800;105;442.007;130
84;800;1814;1403.947;146
85;800;2244;1545.094;132
86;800;507;1555.938;146
87;800;168;1811.175;145
88;800;1773;675.451;260
89;800;317;746.979;226
90;800;207;468.96;167
91;800;8143;1726.271;266
92;800;4421;822.757;308
93;800;1566;1277.321;119
94;3211;758;1049.577;149
95;3211;725;691.133;206
96;3211;346;573.516;118
97;3211;800;511.679;977
98;3211;147;471.251;109
99;3211;101;344.762;291
100;3211;537;47.457;811
101;3211;574;20.14;1072
102;3211;127;112.929;763
103;3211;194;65.071;622
104;3211;184;351.115;434
105;3211;2273;97.54;1351
106;3211;137;367.385;455
107;3211;114;84.907;735
108;3211;240;65.062;681
109;3211;325;99.583;1120
110;3211;423;514.717;308
111;3211;204;390.632;916
112;3211;151;418.178;135
113;3211;379;772.285;315
114;3211;309;1706.349;252
115;3211;208;462.456;482
116;3211;147;669.47;627
117;3211;1183;1295.802;310
118;3211;123;1304.356;151
119;3211;338;1287.044;229
120;3211;775;2794.872;293
121;3211;2057;836.562;601
122;3211;184;870.246;145
123;3211;1101;567.953;703
124;3211;148;426.866;301
125;3211;132;526.206;137
126;3211;157;524.322;137
127;3211;715;1665.901;142
128;3211;192;1964.554;127
129;3211;1505;1131.357;527
130;3211;1109;1164.061;586
131;3211;571;1167.011;283
132;3211;246;1196.255;168
133;3211;624;671.827;304
134;3211;179;345.309;118
135;3211;126;782.064;292
136;3211;105;754.84;337
137;3211;568;2561.012;155
138;3211;1132;2283.4;203
139;3211;907;1928.94;216
140;3211;138;1840.458;121
141;3211;217;1977.297;108
142;3211;911;1551.438;260
143;3211;186;1403.867;126
144;3211;880;1598.261;340
145;3211;135;1499.638;314
146;3211;117;1810.392;106
147;3211;313;1777.658;150
148;3211;588;1645.797;181
149;3211;128;1891.73;103
150;3211;147;1623.204;237
151;3211;1814;1312.416;564
152;3211;140;1327.355;150
153;3211;2244;1243.813;635
154;3211;226;3295.194;157
155;3211;507;1097.434;638
156;3211;168;1383.239;659
157;3211;1773;1050.223;782
158;3211;317;1127.523;640
159;3211;273;919.294;125
160;3211;698;1115.584;173
161;3211;205;1054.444;127
162;3211;207;128.849;1059
163;3211;8143;1893.727;1040
164;3211;4421;1213.607;921
165;3211;1639;1821.607;375
166;3211;1566;983.717;479
167;537;800;470.563;122
168;537;3211;47.457;230
169;537;574;64.483;111
170;537;127;66.746;142
171;537;2273;61.535;229
172;537;325;89.912;146
173;537;204;433.131;124
174;537;207;94.049;111
175;537;8143;1896.127;104
176;574;800;531.542;146
177;574;3211;20.14;302
178;574;537;64.483;116
179;574;127;131.035;121
180;574;194;51.525;131
181;574;2273;106.504;199
182;574;114;67.201;151
183;574;240;62.033;127
184;574;325;97.167;184
185;574;204;382.956;156
186;574;1101;576.664;103
187;574;1773;1068.834;119
188;574;317;1146.128;107
189;574;207;135.991;165
190;574;8143;1905.658;141
191;574;4421;1232.303;139
192;2273;758;1086.347;120
193;2273;725;664.334;142
194;2273;800;469.056;741
195;2273;3211;97.54;1086
196;2273;101;294.137;159
197;2273;537;61.535;645
198;2273;574;106.504;414
199;2273;127;74.488;611
200;2273;194;97.493;224
201;2273;184;292.288;274
202;2273;137;404.392;153
203;2273;114;169.385;286
204;2273;240;62.09;326
205;2273;325;57.548;632
206;2273;423;589.1;235
207;2273;204;488.096;635
208;2273;379;868.747;196
209;2273;309;1798.871;169
210;2273;208;475.196;226
211;2273;147;669.686;317
212;2273;1183;1359.766;214
213;2273;338;1356.961;153
214;2273;775;2827.203;198
215;2273;2057;894.921;477
216;2273;184;950.421;121
217;2273;1101;639.604;499
218;2273;148;505.929;185
219;2273;132;598.92;121
220;2273;157;594.774;134
221;2273;1505;1158.034;369
222;2273;1109;1174.825;444
223;2273;571;1181.156;166
224;2273;246;1220.099;104
225;2273;624;709.08;282
226;2273;179;378.709;122
227;2273;126;822.511;259
228;2273;105;767.262;258
229;2273;568;2593.097;129
230;2273;1132;2316.637;176
231;2273;907;1962.293;162
232;2273;911;1599.969;192
233;2273;880;1629.586;213
234;2273;135;1547.166;205
235;2273;147;1690.688;144
236;2273;1814;1396.641;389
237;2273;2244;1341.158;441
238;2273;507;1184.895;425
239;2273;168;1474.988;447
240;2273;1773;1057.124;592
241;2273;317;1134.166;472
242;2273;273;921.949;135
243;2273;698;1111.29;119
244;2273;205;1057.089;108
245;2273;207;32.58;849
246;2273;8143;1948.058;757
247;2273;4421;1218.757;684
248;2273;1639;1872.211;275
249;2273;1566;1080.541;351
250;240;3211;65.062;120
251;240;325;35.192;102
252;325;3211;99.583;157
253;325;2273;57.548;118
254;325;240;35.192;103
255;325;207;64.376;101
256;423;3211;514.717;144
257;423;2273;589.1;104
258;423;204;338.556;218
259;423;151;204.71;150
260;423;507;620.399;122
261;423;168;932.047;112
262;423;8143;2053.383;135
263;423;4421;1608.443;115
264;379;2244;519.402;112
265;379;507;437.158;107
266;379;8143;1730.807;112
267;379;1566;324.936;134
268;309;1814;507.298;132
269;309;8143;1182.547;107
270;208;147;213.994;111
271;1183;800;1221.124;194
272;1183;3211;1295.802;186
273;1183;2273;1359.766;161
274;1183;204;1105.943;139
275;1183;147;1881.542;124
276;1183;124;163.593;200
277;1183;161;66.523;487
278;1183;123;64.383;487
279;1183;338;110.562;490
280;1183;151;219.55;207
281;1183;109;117.063;183
282;1183;116;185.954;141
283;1183;192;65.82;327
284;1183;103;83.02;186
285;1183;2057;468.991;306
286;1183;1101;731.146;168
287;1183;192;781.473;103
288;1183;1505;563.271;256
289;1183;1109;754.45;249
290;1183;571;714.261;102
291;1183;907;847.105;105
292;1183;911;372.832;149
293;1183;880;628.905;272
294;1183;135;350.166;224
295;1183;313;754.584;103
296;1183;147;336.996;156
297;1183;1814;434.022;377
298;1183;2244;1004.968;192
299;1183;507;1508.346;191
300;1183;168;1551.915;188
301;1183;1773;794.023;286
302;1183;317;799.402;176
303;1183;207;1388.362;135
304;1183;8143;624.983;475
305;1183;4421;829.031;378
306;1183;1639;582.024;157
307;1183;1566;886.551;166
308;338;1183;110.562;165
309;338;123;174.942;101
310;338;1814;323.462;131
311;338;8143;683.008;120
312;775;800;2490.442;132
313;775;3211;2794.872;114
314;775;2273;2827.203;103
315;775;139;155.875;202
316;775;192;866.552;173
317;775;1505;1670.391;170
318;775;1109;1691.546;197
319;775;568;234.123;253
320;775;1132;511.689;265
321;775;907;865.968;290
322;775;911;1291.997;148
323;775;880;1197.623;162
324;775;135;1333.989;166
325;775;313;1018.51;120
326;775;1814;1970.75;153
327;775;2244;2577.023;120
328;775;507;3144.381;138
329;775;168;3142.261;132
330;775;1773;1815.412;223
331;775;317;1746.161;195
332;775;207;2847.702;104
333;775;8143;1058.985;387
334;775;4421;1677.395;284
335;775;1639;1069.376;193
336;2057;758;316.582;179
337;2057;725;704.219;110
338;2057;800;774.219;423
339;2057;3211;836.562;499
340;2057;537;840.924;119
341;2057;2273;894.921;455
342;2057;325;929.675;186
343;2057;423;1051.824;128
344;2057;204;713.697;332
345;2057;379;863.465;119
346;2057;309;1150.09;129
347;2057;208;1241.662;134
348;2057;147;1454.809;256
349;2057;1183;468.991;274
350;2057;123;469.866;107
351;2057;338;486.39;232
352;2057;775;2001.287;132
353;2057;125;213.599;397
354;2057;128;268.678;275
355;2057;184;288.269;552
356;2057;1101;293.717;599
357;2057;148;443.46;103
358;2057;192;1147.33;120
359;2057;1505;454.975;487
360;2057;1109;607.291;442
361;2057;571;581.471;194
362;2057;246;526.034;141
363;2057;624;260.046;241
364;2057;126;188.308;540
365;2057;105;424.403;223
366;2057;1132;1492.239;118
367;2057;907;1143.863;163
368;2057;911;724.055;165
369;2057;880;834.238;311
370;2057;135;675.209;203
371;2057;117;1054.034;105
372;2057;313;1007.027;141
373;2057;588;829.665;121
374;2057;147;804.929;156
375;2057;1814;650.405;445
376;2057;2244;981.374;415
377;2057;507;1296.593;309
378;2057;168;1434.428;314
379;2057;1773;567.74;564
380;2057;317;617.262;434
381;2057;273;540.839;166
382;2057;698;702.679;144
383;2057;205;606.629;102
384;2057;207;922.651;336
385;2057;8143;1057.648;733
386;2057;4421;688.828;636
387;2057;1639;989.036;233
388;2057;1566;758.754;350
389;1101;800;658.021;234
390;1101;3211;567.953;346
391;1101;537;580.921;101
392;1101;2273;639.604;289
393;1101;325;665.672;118
394;1101;423;763.716;113
395;1101;204;425.313;293
396;1101;208;950.636;102
397;1101;147;1163.086;167
398;1101;1183;731.146;123
399;1101;2057;293.717;345
400;1101;114;157.119;194
401;1101;148;151.534;320
402;1101;132;42.341;320
403;1101;157;45.507;331
404;1101;1505;703.166;162
405;1101;1109;814.919;162
406;1101;624;290.097;139
407;1101;105;488.289;101
408;1101;1814;776.053;215
409;1101;2244;906.119;204
410;1101;507;1079.997;213
411;1101;168;1266.6;198
412;1101;1773;739.064;256
413;1101;317;805.771;147
414;1101;207;670.09;149
415;1101;8143;1341.469;366
416;1101;4421;888.851;314
417;1101;1639;1277.919;119
418;1101;1566;645.722;175
419;715;800;1547.084;110
420;715;3211;1665.901;108
421;715;1183;374.74;117
422;715;161;334.426;129
423;715;338;420.844;103
424;715;2057;831.535;108
425;715;313;126.022;386
426;715;238;160.299;162
427;715;192;487.646;273
428;715;278;364.019;127
429;715;125;109.029;171
430;715;1505;771.325;147
431;715;1109;933.83;147
432;715;911;268.618;183
433;715;880;563.688;206
434;715;135;307.945;160
435;715;313;599.664;148
436;715;588;173.885;169
437;715;147;161.649;244
438;715;1814;653.015;206
439;715;2244;1261.689;106
440;715;507;1826.511;104
441;715;168;1825.885;102
442;715;1773;1013.072;178
443;715;317;991.424;130
444;715;8143;264.797;376
445;715;4421;989.23;206
446;715;1639;263.763;254
447;313;715;126.022;126
448;313;192;372.52;108
449;313;8143;139.622;160
450;313;1639;151.159;112
451;238;715;160.299;102
452;238;8143;405.677;126
453;192;8143;273.866;101
454;278;192;125.882;138
455;278;8143;156.053;153
456;278;1639;100.9;124
457;1505;758;142.807;233
458;1505;210;85.513;216
459;1505;800;845.048;315
460;1505;3211;1131.357;205
461;1505;2273;1158.034;186
462;1505;204;1123.557;165
463;1505;147;1795.015;169
464;1505;1183;563.271;167
465;1505;338;655.748;155
466;1505;775;1670.391;150
467;1505;2057;454.975;277
468;1505;1101;703.166;183
469;1505;394;118.115;458
470;1505;168;174.069;213
471;1505;131;285.613;225
472;1505;217;197.822;170
473;1505;1109;192.897;664
474;1505;121;117.129;197
475;1505;571;154.325;499
476;1505;322;287.587;224
477;1505;143;195.342;157
478;1505;246;72.607;535
479;1505;163;65.959;424
